date,store,salesperson,vehicle_type,sale_price,front_gross,back_gross,lead_source,status,days_in_inventory,stock_number,make,model,year,fi_products_sold,csi_score
2025-04-02,Store 4,SP_D,Used,"$17,049",$535,$881,Repeat Customer,Pending,27,STK-00103,Toyota,Camry,2024,0,0
2025-04-02,Store 4,SP_A,Used,"$41,753",$335,"$1,622",Facebook,Sold,50,STK-00104,GMC,Terrain,2021,4,10
2025-04-02,Store 4,SP_H,New,"$42,486",$365,"$1,231",AutoTrader,Sold,108,STK-00105,Honda,Encore,2025,1,9
2025-04-02,Store 4,SP_D,New,"$39,366",$531,"$1,296",Repeat Customer,Lost,43,STK-00106,Cadillac,CR-V,2024,0,0
2025-04-02,Store 5,SP_G,New,"$62,440","$2,036","$1,913",AutoTrader,Sold,40,STK-00107,Toyota,RAV4,2025,1,8.1
2025-04-02,Store 5,SP_C,New,"$57,174","$1,192","$1,083",Website,Sold,27,STK-00108,Toyota,RAV4,2025,4,9.3
2025-04-02,Store 5,SP_J,New,"$56,252","$1,909",$945,CarGurus,Lost,26,STK-00109,Chevrolet,Equinox,2024,0,0
2025-04-02,Store 5,SP_B,New,"$53,347","$2,113","$1,536",CarGurus,Pending,35,STK-00110,Toyota,RAV4,2026,0,0
2025-04-02,Store 5,SP_G,New,"$41,370","$1,227","$1,397",Referral,Sold,5,STK-00111,Buick,XT5,2025,2,8.9
2025-04-02,Store 5,SP_B,New,"$54,305","$1,485","$1,898",Walk-In,Lost,39,STK-00112,Toyota,Camry,2026,0,0
2025-04-02,Store 5,SP_C,New,"$50,788","$1,568","$1,470",Email Campaign,Lost,34,STK-00113,Chevrolet,Equinox,2026,0,0
2025-04-02,Store 5,SP_J,Used,"$31,378","$2,067","$1,449",CarGurus,Lost,49,STK-00114,Cadillac,Envision,2022,0,0
2025-04-02,Store 5,SP_F,Used,"$17,050","$2,005",$943,Repeat Customer,Sold,52,STK-00115,Honda,Ridgeline,2020,3,9.7
2025-04-02,Store 6,SP_D,New,"$40,836","$2,200",$737,Service Drive,Sold,40,STK-00116,Cadillac,Accord,2026,2,9.4
2025-04-02,Store 6,SP_E,Used,"$23,602","$3,302","$1,853",Service Drive,Sold,15,STK-00117,Ford,F-150,2020,2,9.4
2025-04-02,Store 6,SP_A,Used,"$19,168","$2,488","$1,816",Website,Lost,52,STK-00118,GMC,Encore,2024,0,0
2025-04-02,Store 6,SP_F,New,"$62,722","$1,073","$1,587",Facebook,Lost,27,STK-00119,Buick,Ridgeline,2026,0,0
2025-04-02,Store 7,SP_A,New,"$33,511","$1,997",$700,Phone,Lost,21,STK-00120,Chevrolet,Silverado,2026,0,0
2025-04-02,Store 7,SP_A,New,"$56,849","$1,646","$1,221",Walk-In,Lost,39,STK-00121,Ford,F-150,2024,0,0
2025-04-02,Store 7,SP_A,Used,"$17,828","$3,069","$1,411",CarGurus,Lost,6,STK-00122,Ford,Explorer,2023,0,0
2025-04-02,Store 8,SP_A,Used,"$18,451","$2,414","$1,971",Referral,Sold,49,STK-00123,Ford,Explorer,2023,1,8.4
2025-04-02,Store 8,SP_G,Used,"$23,060","$2,658","$1,291",Referral,Sold,54,STK-00124,GMC,XT5,2022,2,8.8
2025-04-02,Store 8,SP_G,Used,"$13,378","$3,270","$1,025",Facebook,Lost,6,STK-00125,Cadillac,XT5,2019,0,0
2025-04-02,Store 8,SP_A,New,"$38,938","$1,750","$1,370",Service Drive,Pending,46,STK-00126,Chevrolet,Equinox,2024,0,0
2025-04-02,Store 8,SP_J,Used,"$41,423","$3,242","$2,196",Facebook,Pending,11,STK-00127,Buick,CR-V,2023,0,0
2025-04-02,Store 8,SP_A,New,"$58,684","$1,765","$1,971",Email Campaign,Sold,54,STK-00128,GMC,XT5,2024,0,10
2025-04-02,Store 8,SP_E,Used,"$31,126","$3,060","$2,174",Facebook,Lost,6,STK-00129,Honda,XT5,2019,0,0
2025-04-02,Store 8,SP_J,Used,"$27,060","$3,433","$2,081",Website,Lost,50,STK-00130,Ford,Bronco,2022,0,0
2025-04-02,Store 8,SP_J,New,"$35,912","$1,109","$1,332",Phone,Lost,39,STK-00131,Cadillac,Pilot,2025,0,0
2025-04-02,Store 9,SP_C,New,"$40,049","$2,253","$1,525",CarGurus,Lost,41,STK-00132,GMC,Encore,2026,0,0
2025-04-02,Store 9,SP_D,New,"$47,919","$1,086","$1,124",AutoTrader,Lost,32,STK-00133,Honda,Envision,2024,0,0
2025-04-02,Store 9,SP_E,New,"$40,796","$2,305","$1,328",Walk-In,Lost,39,STK-00134,Chevrolet,Equinox,2025,0,0
2025-04-02,Store 9,SP_J,Used,"$14,551","$2,892","$1,960",Website,Sold,10,STK-00135,Ford,Bronco,2020,0,9.4
2025-04-02,Store 9,SP_H,Used,"$32,704","$2,711","$1,677",AutoTrader,Sold,13,STK-00136,Honda,XT5,2021,2,9.6
2025-04-02,Store 9,SP_G,New,"$35,157","$1,242",$768,Service Drive,Sold,31,STK-00137,GMC,CR-V,2024,0,9.2
2025-04-02,Store 9,SP_D,New,"$43,954","$1,110","$1,596",Referral,Sold,10,STK-00138,Buick,Encore,2026,2,9
2025-04-02,Store 9,SP_E,Used,"$31,049","$3,119","$1,718",Repeat Customer,Sold,44,STK-00139,Cadillac,Accord,2021,4,9.9
2025-04-02,Store 9,SP_B,Used,"$15,735","$1,833",$839,Service Drive,Sold,24,STK-00140,Ford,Explorer,2023,0,8.5
2025-04-02,Store 9,SP_A,New,"$34,224",$771,$888,Walk-In,Pending,15,STK-00141,Toyota,Camry,2024,0,0
2025-04-02,Store 10,SP_D,New,"$67,802",$665,"$1,615",Facebook,Pending,37,STK-00142,Ford,Escape,2026,0,0
2025-04-02,Store 10,SP_G,New,"$45,753","$1,818","$1,783",Repeat Customer,Sold,50,STK-00143,Buick,Accord,2024,4,10
2025-04-02,Store 10,SP_G,Used,"$15,177","$3,473","$1,693",Walk-In,Sold,47,STK-00144,Toyota,RAV4,2022,1,8.9
2025-04-02,Store 10,SP_A,New,"$29,950","$1,579","$1,162",Website,Lost,27,STK-00145,Ford,Escape,2026,0,0
2025-04-02,Store 10,SP_C,New,"$41,592","$1,979","$1,172",Walk-In,Pending,47,STK-00146,GMC,Envision,2025,0,0
2025-04-02,Store 10,SP_J,Used,"$35,361","$2,354","$1,985",Email Campaign,Pending,4,STK-00147,Buick,Pilot,2019,0,0
2025-04-02,Store 10,SP_E,Used,"$14,090","$3,761","$1,237",Service Drive,Pending,45,STK-00148,Ford,Bronco,2021,0,0
2025-04-02,Store 11,SP_A,New,"$50,909","$2,041",$459,Email Campaign,Sold,7,STK-00149,Ford,Escape,2024,3,9.6
2025-04-02,Store 11,SP_H,New,"$36,894","$2,043",$385,Email Campaign,Sold,30,STK-00150,Ford,F-150,2026,4,9.7
2025-04-02,Store 11,SP_J,New,"$31,713","$1,810",$112,Referral,Sold,39,STK-00151,Toyota,Highlander,2026,3,8.9
2025-04-02,Store 11,SP_F,New,"$63,452","$1,571",$460,Facebook,Lost,43,STK-00152,Toyota,Camry,2026,0,0
2025-04-02,Store 12,SP_J,Used,"$29,663","$2,485","$1,208",Service Drive,Sold,9,STK-00153,Honda,Accord,2020,3,9.9
2025-04-02,Store 12,SP_F,New,"$51,480",$967,"$1,323",Website,Lost,24,STK-00154,Ford,F-150,2025,0,0
2025-04-02,Store 12,SP_C,New,"$53,143","$2,562","$1,081",Facebook,Sold,12,STK-00155,GMC,Accord,2026,0,9.4
2025-04-02,Store 12,SP_D,Used,"$31,522","$3,207",$878,Walk-In,Lost,20,STK-00156,Buick,XT5,2023,0,0
2025-04-02,Store 12,SP_B,New,"$45,213","$1,997","$1,212",CarGurus,Lost,49,STK-00157,Cadillac,CR-V,2026,0,0
2025-04-02,Store 12,SP_G,New,"$33,649","$1,039","$1,789",CarGurus,Sold,33,STK-00158,Chevrolet,Tahoe,2025,3,8.4
2025-04-02,Store 12,SP_F,Used,"$40,763","$3,283","$1,799",AutoTrader,Lost,50,STK-00159,Honda,Terrain,2024,0,0
2025-04-02,Store 12,SP_D,New,"$60,056","$2,028",$934,Facebook,Lost,33,STK-00160,Toyota,Camry,2024,0,0
2025-04-02,Store 12,SP_E,Used,"$31,858","$1,638","$2,163",Repeat Customer,Sold,10,STK-00161,Chevrolet,Tahoe,2020,4,8.6
2025-04-02,Store 12,SP_I,New,"$61,417",$981,"$1,209",Phone,Sold,55,STK-00162,GMC,Pilot,2026,0,9.5
2025-04-03,Store 1,SP_D,Used,"$13,507","$1,990","$1,815",Repeat Customer,Lost,37,STK-00163,Buick,XT5,2021,0,0
2025-04-03,Store 1,SP_E,Used,"$31,928","$2,376","$1,318",Facebook,Sold,42,STK-00164,Toyota,Tacoma,2021,0,9.6
2025-04-03,Store 1,SP_F,Used,"$20,109","$2,946","$1,890",Facebook,Lost,29,STK-00165,Honda,Accord,2020,0,0
2025-04-03,Store 1,SP_J,New,"$44,728","$1,439","$1,363",Website,Sold,53,STK-00166,Toyota,Camry,2024,2,8.1
2025-04-03,Store 1,SP_E,Used,"$38,516","$3,103","$2,145",Referral,Pending,22,STK-00167,Honda,Encore,2024,0,0
2025-04-03,Store 1,SP_F,New,"$43,447",$807,"$1,854",Referral,Sold,41,STK-00168,GMC,Ridgeline,2026,3,9.4
2025-04-03,Store 1,SP_H,New,"$40,387","$1,148","$1,397",Phone,Lost,97,STK-00169,Ford,F-150,2025,0,0
2025-04-03,Store 1,SP_A,Used,"$28,198","$3,175","$1,292",Repeat Customer,Sold,82,STK-00170,Ford,Escape,2023,3,9.3
2025-04-03,Store 1,SP_A,New,"$32,919",$918,$811,CarGurus,Sold,6,STK-00171,Toyota,Camry,2025,3,8.8
2025-04-03,Store 2,SP_I,New,"$33,272","$2,300","$1,467",CarGurus,Sold,26,STK-00172,Ford,Bronco,2025,0,8.6
2025-04-03,Store 2,SP_B,New,"$53,440",$637,"$1,635",Walk-In,Pending,52,STK-00173,GMC,Envision,2026,0,0
2025-04-03,Store 2,SP_J,New,"$33,234","$1,863",$819,Service Drive,Lost,38,STK-00174,Honda,Ridgeline,2025,0,0
2025-04-03,Store 2,SP_C,Used,"$40,650","$3,756","$1,020",Facebook,Lost,27,STK-00175,Chevrolet,Traverse,2021,0,0
2025-04-03,Store 2,SP_J,Used,"$26,052","$1,930","$1,945",Service Drive,Lost,38,STK-00176,GMC,CR-V,2020,0,0
2025-04-03,Store 3,SP_J,Used,"$39,030","$3,132",$959,Email Campaign,Sold,2,STK-00177,Chevrolet,Traverse,2021,1,8.5
2025-04-03,Store 3,SP_C,New,"$50,565","$2,196",$969,Email Campaign,Sold,52,STK-00178,Buick,Accord,2024,3,8.3
2025-04-03,Store 3,SP_G,Used,"$27,659",$-310,$724,Walk-In,Sold,52,STK-00179,Honda,Pilot,2022,4,9.8
2025-04-03,Store 3,SP_D,New,"$52,075","$1,907","$1,212",Repeat Customer,Pending,14,STK-00180,Cadillac,XT5,2025,0,0
2025-04-03,Store 3,SP_F,New,"$66,055",$-202,"$1,067",Website,Sold,39,STK-00181,Buick,Ridgeline,2026,2,9.8
2025-04-03,Store 3,SP_G,New,"$35,455",$820,"$1,084",Referral,Lost,44,STK-00182,Ford,F-150,2024,0,0
2025-04-03,Store 3,SP_B,Used,"$20,055","$3,642","$1,951",Service Drive,Sold,3,STK-00183,Buick,XT5,2024,3,8
2025-04-03,Store 3,SP_A,New,"$57,127",$-222,$869,Service Drive,Sold,54,STK-00184,Ford,Bronco,2024,4,8.9
2025-04-03,Store 3,SP_J,Used,"$24,979","$1,655","$1,091",Service Drive,Lost,32,STK-00185,Chevrolet,Equinox,2022,0,0
2025-04-03,Store 4,SP_H,Used,"$25,290",$329,"$1,016",Service Drive,Sold,37,STK-00186,Honda,XT5,2024,4,8.5
2025-04-03,Store 4,SP_F,Used,"$24,806",$821,$739,Walk-In,Sold,6,STK-00187,Cadillac,Encore,2022,2,8.2
2025-04-03,Store 4,SP_B,New,"$37,069",$281,$666,Repeat Customer,Sold,29,STK-00188,Toyota,Highlander,2024,2,8.2
2025-04-03,Store 4,SP_G,Used,"$23,326",$705,"$1,716",Walk-In,Pending,15,STK-00189,Chevrolet,Equinox,2022,0,0
2025-04-03,Store 5,SP_G,New,"$43,503","$1,316","$1,061",Repeat Customer,Lost,33,STK-00190,Toyota,Camry,2024,0,0
2025-04-03,Store 5,SP_H,New,"$34,955","$2,231","$1,978",Website,Lost,53,STK-00191,Honda,XT5,2026,0,0
2025-04-03,Store 5,SP_E,New,"$33,808","$2,409","$1,760",Walk-In,Pending,38,STK-00192,Chevrolet,Traverse,2025,0,0
2025-04-03,Store 5,SP_I,New,"$65,288","$2,477","$1,811",Referral,Sold,17,STK-00193,Cadillac,Ridgeline,2025,1,8.4
2025-04-03,Store 5,SP_H,New,"$44,035",$935,"$1,964",Facebook,Sold,10,STK-00194,GMC,CR-V,2026,3,8.9
2025-04-03,Store 5,SP_B,Used,"$31,302","$3,707","$1,771",Service Drive,Lost,1,STK-00195,Ford,F-150,2020,0,0
2025-04-03,Store 5,SP_F,Used,"$24,867","$3,667","$2,068",Repeat Customer,Pending,31,STK-00196,GMC,Terrain,2021,0,0
2025-04-03,Store 5,SP_G,New,"$43,106",$764,$929,Phone,Sold,23,STK-00197,Toyota,Highlander,2025,0,10
2025-04-03,Store 6,SP_B,Used,"$19,945","$1,965","$1,631",AutoTrader,Sold,54,STK-00198,GMC,Ridgeline,2020,3,8.3
