date,store,salesperson,vehicle_type,sale_price,front_gross,back_gross,lead_source,status,days_in_inventory,stock_number,make,model,year,fi_products_sold,csi_score
2025-04-02,Store 12,SP_A,Used,"$29,523","$3,650",$465,Service Drive,Sold,119,STK-00051,Cadillac,Equinox,2022,2,9.4
2025-04-02,Store 12,SP_J,New,"$29,195",$465,"$1,161",Walk-In,Pending,39,STK-00052,Toyota,Silverado,2025,0,0
2025-04-02,Store 12,SP_B,Used,"$36,100",$769,"$1,371",Repeat Customer,Sold,18,STK-00053,Toyota,Silverado,2020,4,9.8
2025-04-02,Store 2,SP_E,Used,"$28,899","$1,056","$1,709",Repeat Customer,Sold,26,STK-00054,Cadillac,Accord,2020,3,8.6
2025-04-02,Store 2,SP_D,Used,"$20,715","$2,043","$1,652",Phone,Lost,101,STK-00055,Buick,Accord,2021,0,0
2025-04-02,Store 2,SP_B,New,"$23,254","$1,238","$2,170",AutoTrader,Pending,102,STK-00056,Toyota,Tahoe,2025,0,0
2025-04-02,Store 3,SP_A,New,"$25,262",$422,"$1,589",Walk-In,Sold,55,STK-00057,Chevrolet,Accord,2025,0,8.0
2025-04-02,Store 3,SP_C,Used,"$28,696","$3,554",$342,Email Campaign,Sold,22,STK-00058,Toyota,XT5,2021,1,9.3
2025-04-02,Store 3,SP_E,New,"$35,912","$2,621","$1,767",Walk-In,Sold,81,STK-00059,Ford,Tahoe,2024,1,9.5
2025-04-02,Store 4,SP_C,Used,"$47,508","$1,366","$1,060",AutoTrader,Pending,49,STK-00060,Ford,Terrain,2023,0,0
2025-04-02,Store 4,SP_B,New,"$50,638","$2,554",$894,CarGurus,Sold,90,STK-00061,GMC,Tahoe,2026,4,8.8
2025-04-02,Store 4,SP_B,New,"$42,251","$3,323","$1,937",Referral,Sold,8,STK-00062,GMC,Bronco,2025,3,8.6
2025-04-02,Store 4,SP_J,Used,"$37,687",$941,"$1,335",Service Drive,Pending,106,STK-00063,Toyota,Pilot,2020,0,0
2025-04-02,Store 4,SP_E,New,"$66,441","$2,468","$1,323",Email Campaign,Sold,28,STK-00064,Chevrolet,Terrain,2024,3,8.9
2025-04-02,Store 5,SP_J,Used,"$15,673","$3,380","$1,419",CarGurus,Sold,45,STK-00065,Ford,Escape,2024,2,9.0
2025-04-02,Store 6,SP_H,New,"$44,588","$3,284",$318,Phone,Sold,34,STK-00066,GMC,Envision,2024,4,8.9
2025-04-02,Store 6,SP_F,Used,"$29,188","$3,397","$1,560",Walk-In,Lost,27,STK-00067,Ford,F-150,2020,0,0
2025-04-02,Store 7,SP_B,New,"$55,595",$716,"$1,498",CarGurus,Sold,111,STK-00068,Ford,Sierra,2025,1,8.3
2025-04-02,Store 7,SP_D,New,"$26,380",$595,$476,Email Campaign,Lost,111,STK-00069,Cadillac,Pilot,2026,0,0
2025-04-02,Store 8,SP_F,New,"$37,585","$1,283","$1,254",Referral,Sold,77,STK-00070,Buick,XT5,2025,1,9.9
2025-04-02,Store 8,SP_E,Used,"$16,225","$3,611",$530,Repeat Customer,Lost,101,STK-00071,Toyota,Highlander,2023,0,0
2025-04-02,Store 9,SP_D,New,"$56,919","$1,990",$478,CarGurus,Pending,113,STK-00072,Ford,Bronco,2025,0,8.0
2025-04-02,Store 9,SP_I,Used,"$37,438","$3,764",$698,Phone,Lost,54,STK-00073,Ford,Traverse,2021,0,0
2025-04-03,Store 1,SP_B,New,"$33,141","$2,575","$1,303",Walk-In,Sold,102,STK-00074,Chevrolet,XT5,2026,1,8.1
2025-04-03,Store 1,SP_C,Used,"$14,847","$2,201",$800,Service Drive,Sold,16,STK-00075,Chevrolet,Envision,2022,1,9.3
2025-04-03,Store 1,SP_I,New,"$68,890",$504,"$1,578",Referral,Lost,129,STK-00076,Buick,Malibu,2024,0,0
2025-04-03,Store 10,SP_C,New,"$58,734","$1,448",$986,Facebook,Pending,59,STK-00077,Buick,Envision,2026,0,0
2025-04-03,Store 10,SP_E,New,"$49,432","$2,094",$711,CarGurus,Pending,60,STK-00078,Ford,Highlander,2025,0,0
2025-04-03,Store 11,SP_D,New,"$55,457","$1,693","$1,311",Facebook,Sold,107,STK-00079,Buick,Yukon,2024,0,9.5
2025-04-03,Store 12,SP_B,New,"$68,438","$1,711","$2,109",CarGurus,Sold,79,STK-00080,GMC,Equinox,2024,2,9.0
2025-04-03,Store 2,SP_G,Used,"$11,886","$3,005","$1,202",Email Campaign,Pending,101,STK-00081,GMC,CR-V,2022,0,8.5
2025-04-03,Store 2,SP_J,New,"$53,580","$2,507","$2,156",Repeat Customer,Sold,48,STK-00082,Honda,Sierra,2026,2,8.6
2025-04-03,Store 2,SP_J,New,"$51,884","$3,464","$1,201",AutoTrader,Pending,124,STK-00083,Cadillac,Equinox,2026,0,0
2025-04-03,Store 3,SP_H,New,"$69,192","$3,474",$979,Website,Lost,65,STK-00084,Ford,Envision,2026,0,0
2025-04-03,Store 4,SP_H,Used,"$13,510","$3,753","$2,058",Website,Sold,124,STK-00085,Chevrolet,RAV4,2023,2,9.8
2025-04-03,Store 4,SP_D,Used,"$23,302","$3,666","$1,581",Service Drive,Pending,19,STK-00086,Cadillac,Encore,2021,0,0
2025-04-03,Store 5,SP_D,New,"$73,710","$2,449","$1,435",Website,Pending,57,STK-00087,Cadillac,Encore,2026,0,0
2025-04-03,Store 5,SP_D,New,"$31,651","$3,659","$1,190",Facebook,Sold,8,STK-00088,Toyota,RAV4,2026,4,9.2
2025-04-03,Store 5,SP_H,Used,"$22,031","$3,158","$1,331",Repeat Customer,Lost,78,STK-00089,Ford,F-150,2020,0,9.7
2025-04-03,Store 6,SP_G,Used,"$24,187","$3,143","$1,897",CarGurus,Sold,10,STK-00090,Ford,Highlander,2024,4,8.3
2025-04-03,Store 8,SP_I,New,"$53,992",$840,"$1,924",Referral,Sold,39,STK-00091,GMC,Accord,2025,2,9.9
2025-04-03,Store 8,SP_D,New,"$33,366","$3,166","$1,016",Service Drive,Sold,45,STK-00092,Chevrolet,Sierra,2025,3,9.1
2025-04-03,Store 9,SP_C,New,"$60,830",$459,"$2,058",Referral,Lost,128,STK-00093,Chevrolet,Accord,2024,0,0
2025-04-03,Store 9,SP_C,Used,"$12,756","$3,711","$1,065",Website,Sold,15,STK-00094,Toyota,Yukon,2020,4,8.5
2025-04-04,Store 1,SP_B,New,"$27,730","$3,577","$1,064",Service Drive,Pending,45,STK-00095,Buick,Escape,2026,0,0
2025-04-04,Store 1,SP_A,New,"$60,981","$3,185",$428,Service Drive,Lost,100,STK-00096,Ford,RAV4,2026,0,0
2025-04-04,Store 10,SP_C,Used,"$29,721",$538,$780,Service Drive,Sold,104,STK-00097,Toyota,Bronco,2022,1,9.6
2025-04-04,Store 11,SP_F,Used,"$36,080","$1,178","$1,798",Service Drive,Lost,38,STK-00098,GMC,Highlander,2019,0,0
2025-04-04,Store 11,SP_B,New,"$23,139","$1,866",$874,Phone,Lost,21,STK-00099,Honda,Traverse,2025,0,0
2025-04-04,Store 12,SP_E,Used,"$20,569","$3,596","$1,485",Email Campaign,Pending,81,STK-00100,Cadillac,Silverado,2020,0,8.3
2025-04-04,Store 2,SP_A,New,"$65,623","$1,680","$1,143",Email Campaign,Sold,34,STK-00101,Toyota,XT5,2024,2,9.7
2025-04-04,Store 2,SP_E,New,"$57,466","$1,566","$1,429",Walk-In,Lost,97,STK-00102,Chevrolet,Camry,2024,0,0
2025-04-04,Store 2,SP_G,Used,"$25,247",$686,"$1,682",Repeat Customer,Sold,44,STK-00103,Toyota,Silverado,2023,3,8.8
2025-04-04,Store 3,SP_B,New,"$70,335","$1,032",$330,Email Campaign,Pending,105,STK-00104,Ford,Bronco,2024,0,0
2025-04-04,Store 3,SP_E,New,"$63,615","$2,610","$1,815",AutoTrader,Sold,46,STK-00105,Toyota,Tahoe,2026,0,9.4
2025-04-04,Store 4,SP_C,Used,"$47,152","$3,365","$2,008",Walk-In,Pending,80,STK-00106,GMC,XT5,2023,0,0
2025-04-04,Store 4,SP_D,Used,"$35,232","$1,629",$583,Repeat Customer,Sold,35,STK-00107,GMC,Escape,2022,1,8.4
2025-04-04,Store 5,SP_H,Used,"$38,834","$1,485","$1,421",Website,Sold,110,STK-00108,GMC,Envision,2021,3,9.7
2025-04-04,Store 5,SP_B,Used,"$43,013","$1,647","$1,137",Email Campaign,Sold,21,STK-00109,Honda,RAV4,2022,0,9.8
2025-04-04,Store 5,SP_B,New,"$54,778","$1,447","$1,152",CarGurus,Sold,107,STK-00110,Chevrolet,Traverse,2025,2,9.1
2025-04-04,Store 5,SP_A,New,"$45,716","$3,380",$785,Service Drive,Sold,52,STK-00111,Chevrolet,Traverse,2026,2,8.6
2025-04-04,Store 5,SP_E,New,"$30,454","$2,276",$701,Website,Sold,47,STK-00112,Ford,Highlander,2026,0,8.1
2025-04-04,Store 5,SP_B,Used,"$27,058","$1,395","$1,646",Email Campaign,Sold,47,STK-00113,Honda,Sierra,2021,1,8.1
2025-04-04,Store 5,SP_C,Used,"$18,735","$1,404","$1,873",Repeat Customer,Sold,104,STK-00114,Chevrolet,Sierra,2019,3,8.5
2025-04-04,Store 5,SP_E,New,"$26,127","$2,083","$1,087",Email Campaign,Sold,29,STK-00115,Ford,Bronco,2026,3,8.3
2025-04-04,Store 6,SP_E,New,"$57,266","$3,508",$338,Facebook,Sold,55,STK-00116,Buick,Pilot,2025,2,9.1
2025-04-04,Store 6,SP_H,Used,"$25,813","$2,820","$1,781",AutoTrader,Sold,32,STK-00117,Chevrolet,Accord,2021,3,8.7
2025-04-04,Store 7,SP_C,Used,"$43,598","$3,424",$432,CarGurus,Lost,77,STK-00118,Chevrolet,Bronco,2021,0,0
2025-04-04,Store 8,SP_I,Used,"$38,500","$1,150",$821,Email Campaign,Sold,79,STK-00119,Buick,Silverado,2023,1,8.5
2025-04-04,Store 8,SP_E,Used,"$19,801","$3,661","$1,097",Email Campaign,Sold,103,STK-00120,Honda,RAV4,2022,3,8.6
2025-04-04,Store 8,SP_C,Used,"$24,993","$2,718",$329,Email Campaign,Sold,27,STK-00121,Cadillac,Accord,2022,4,9.6
2025-04-04,Store 9,SP_H,New,"$25,906","$3,281",$387,Facebook,Pending,85,STK-00122,Honda,CR-V,2025,0,0
2025-04-04,Store 9,SP_D,Used,"$42,011","$3,578","$1,757",Service Drive,Sold,124,STK-00123,GMC,Yukon,2020,2,9.1
2025-04-04,Store 9,SP_H,New,"$45,776","$1,788","$1,600",CarGurus,Lost,50,STK-00124,Toyota,Sierra,2026,0,9.4
2025-04-05,Store 10,SP_B,New,"$58,783","$3,722",$630,CarGurus,Sold,7,STK-00125,GMC,RAV4,2024,3,9.6
2025-04-05,Store 10,SP_G,Used,"$17,750","$3,696","$1,616",Referral,Sold,50,STK-00126,Cadillac,Traverse,2019,3,9.2
2025-04-05,Store 11,SP_H,Used,"$43,741","$1,207",$891,AutoTrader,Pending,18,STK-00127,Toyota,Accord,2019,0,0
2025-04-05,Store 12,SP_D,Used,"$13,313","$1,008",$491,Walk-In,Pending,93,STK-00128,Chevrolet,Bronco,2024,0,0
2025-04-05,Store 12,SP_F,New,"$49,737","$2,820","$2,039",AutoTrader,Pending,53,STK-00129,Ford,RAV4,2026,0,0
2025-04-05,Store 12,SP_J,Used,"$27,521","$2,734","$1,696",Facebook,Lost,16,STK-00130,Ford,Equinox,2023,0,8.5
2025-04-05,Store 2,SP_F,New,"$25,744","$2,655","$1,810",Email Campaign,Sold,43,STK-00131,Chevrolet,CR-V,2024,3,8.8
2025-04-05,Store 2,SP_A,New,"$36,476","$2,227","$1,178",Website,Sold,86,STK-00132,Ford,Escape,2025,0,8.4
2025-04-05,Store 2,SP_C,New,"$69,514",$683,$783,CarGurus,Pending,122,STK-00133,Cadillac,F-150,2025,0,0
2025-04-05,Store 3,SP_G,New,"$28,386","$1,658",$927,Phone,Pending,112,STK-00134,Honda,XT5,2024,0,8.6
2025-04-05,Store 4,SP_A,Used,"$38,605","$2,989","$1,558",Email Campaign,Sold,42,STK-00135,Buick,Camry,2023,3,10.0
2025-04-05,Store 4,SP_E,Used,"$28,572","$3,617","$2,032",AutoTrader,Sold,59,STK-00136,Toyota,Tahoe,2019,4,8.2
2025-04-05,Store 5,SP_I,New,"$31,087",$766,"$2,019",Referral,Sold,48,STK-00137,Cadillac,Sierra,2026,2,9.3
2025-04-05,Store 5,SP_G,Used,"$16,110","$2,303",$571,Email Campaign,Sold,16,STK-00138,Buick,Equinox,2023,4,8.3
2025-04-05,Store 5,SP_A,New,"$42,303","$2,270",$829,Referral,Lost,54,STK-00139,Chevrolet,Sierra,2025,0,0
2025-04-05,Store 5,SP_H,Used,"$37,698","$1,285",$829,Referral,Sold,82,STK-00140,GMC,Malibu,2024,2,8.6
2025-04-05,Store 7,SP_F,Used,"$19,603","$2,727",$440,Walk-In,Sold,105,STK-00141,Cadillac,Terrain,2020,4,8.4
2025-04-05,Store 7,SP_B,New,"$40,125","$2,627",$826,Website,Sold,73,STK-00142,Toyota,Highlander,2026,0,9.1
2025-04-05,Store 8,SP_D,New,"$73,419","$1,606",$793,Email Campaign,Sold,83,STK-00143,Honda,Equinox,2025,1,8.9
2025-04-05,Store 8,SP_E,New,"$33,854",$919,"$2,091",Email Campaign,Sold,84,STK-00144,Ford,XT5,2026,3,8.3
2025-04-05,Store 8,SP_J,Used,"$22,866",$682,$597,Phone,Sold,116,STK-00145,Cadillac,Silverado,2019,4,8.5
2025-04-05,Store 9,SP_B,Used,"$15,985","$3,061","$1,175",Email Campaign,Sold,102,STK-00146,Cadillac,Traverse,2021,1,8.6
2025-04-05,Store 9,SP_G,Used,"$35,182","$2,591",$727,Facebook,Sold,95,STK-00147,Toyota,Accord,2022,1,8.5
2025-04-06,Store 10,SP_D,New,"$46,911","$2,658","$1,367",Website,Lost,28,STK-00148,Toyota,Envision,2024,0,0
2025-04-06,Store 11,SP_I,Used,"$44,533",$907,"$1,495",CarGurus,Sold,93,STK-00149,Ford,Yukon,2022,4,9.0
2025-04-06,Store 12,SP_E,New,"$29,612","$2,168",$835,Walk-In,Sold,101,STK-00150,Honda,Bronco,2025,1,9.7
2025-04-06,Store 12,SP_F,New,"$74,911","$1,769","$1,418",Phone,Sold,81,STK-00151,Buick,Equinox,2026,4,9.4
2025-04-06,Store 12,SP_D,New,"$32,136","$3,743",$362,Service Drive,Sold,23,STK-00152,Chevrolet,Highlander,2024,2,8.9
2025-04-06,Store 12,SP_J,New,"$35,296",$658,$420,AutoTrader,Sold,14,STK-00153,Toyota,F-150,2025,0,8.7
2025-04-06,Store 12,SP_A,Used,"$32,237","$2,634","$1,809",Referral,Sold,66,STK-00154,Buick,CR-V,2021,1,8.9
2025-04-06,Store 12,SP_D,New,"$65,058","$3,305","$1,749",Email Campaign,Pending,130,STK-00155,Cadillac,Escape,2026,0,0
2025-04-06,Store 12,SP_I,New,"$46,742","$1,135","$1,570",Email Campaign,Sold,75,STK-00156,Cadillac,Pilot,2026,4,9.6
2025-04-06,Store 2,SP_D,Used,"$40,086","$1,149",$957,Walk-In,Sold,79,STK-00157,Toyota,Tahoe,2020,2,8.2
2025-04-06,Store 2,SP_A,New,"$49,009","$3,697","$1,243",Email Campaign,Sold,92,STK-00158,Honda,Sierra,2025,4,8.5
2025-04-06,Store 2,SP_G,New,"$73,094","$1,981",$685,Service Drive,Lost,103,STK-00159,Ford,Escape,2026,0,0
2025-04-06,Store 3,SP_C,New,"$56,882","$2,502","$1,445",Email Campaign,Sold,51,STK-00160,Chevrolet,CR-V,2026,1,9.1
2025-04-06,Store 3,SP_C,New,"$66,534","$2,066",$343,Email Campaign,Sold,15,STK-00161,Ford,Equinox,2026,3,9.4
2025-04-06,Store 3,SP_B,New,"$69,145","$1,670","$1,949",AutoTrader,Lost,95,STK-00162,Cadillac,Equinox,2026,0,9.3
2025-04-06,Store 4,SP_D,New,"$51,253","$2,620","$1,727",Referral,Lost,105,STK-00163,Honda,Yukon,2025,0,0
2025-04-06,Store 4,SP_G,New,"$69,020","$1,464","$1,056",Service Drive,Sold,13,STK-00164,Buick,Pilot,2024,0,9.0
2025-04-06,Store 5,SP_B,New,"$42,642","$2,887","$1,581",Referral,Sold,12,STK-00165,Chevrolet,Malibu,2026,4,8.6
2025-04-06,Store 5,SP_F,New,"$52,528","$1,221","$1,027",Facebook,Sold,110,STK-00166,Cadillac,Bronco,2026,1,8.1
2025-04-06,Store 6,SP_A,Used,"$24,332","$2,944","$2,016",Facebook,Sold,71,STK-00167,Toyota,RAV4,2021,2,8.1
2025-04-06,Store 6,SP_C,Used,"$30,966","$3,551","$1,698",Email Campaign,Lost,28,STK-00168,Chevrolet,Terrain,2022,0,0
2025-04-06,Store 8,SP_J,Used,"$39,317","$2,744",$539,AutoTrader,Sold,91,STK-00169,Cadillac,XT5,2023,0,8.4
2025-04-06,Store 8,SP_J,Used,"$18,543",$950,"$1,629",CarGurus,Lost,92,STK-00170,Buick,Sierra,2020,0,0
2025-04-06,Store 8,SP_C,New,"$40,486","$1,494","$1,522",AutoTrader,Sold,102,STK-00171,GMC,RAV4,2025,0,9.7
2025-04-06,Store 9,SP_H,New,"$63,500","$2,359","$1,016",AutoTrader,Sold,40,STK-00172,Chevrolet,RAV4,2026,1,9.9
2025-04-07,Store 1,SP_E,New,"$53,783","$3,694","$1,640",CarGurus,Lost,88,STK-00173,Toyota,RAV4,2024,0,0
2025-04-07,Store 10,SP_I,Used,"$34,502","$2,153","$1,196",Phone,Sold,39,STK-00174,Honda,RAV4,2022,1,9.1
2025-04-07,Store 11,SP_F,New,"$30,802","$3,682","$1,852",Walk-In,Sold,34,STK-00175,Honda,RAV4,2025,1,8.0
2025-04-07,Store 11,SP_E,New,"$37,574","$1,944",$383,Facebook,Pending,127,STK-00176,Ford,F-150,2024,0,9.0
2025-04-07,Store 11,SP_H,New,"$72,646",$540,"$2,030",Phone,Pending,75,STK-00177,Chevrolet,Tahoe,2026,0,0
2025-04-07,Store 11,SP_I,Used,"$45,367","$3,735",$674,Referral,Sold,109,STK-00178,Toyota,Escape,2020,3,9.5
2025-04-07,Store 11,SP_B,Used,"$25,792","$2,569","$1,054",CarGurus,Sold,113,STK-00179,Toyota,Bronco,2020,2,9.0
2025-04-07,Store 12,SP_H,New,"$33,516","$3,033",$490,Facebook,Sold,66,STK-00180,GMC,Camry,2026,3,8.1
2025-04-07,Store 12,SP_C,Used,"$30,176","$1,737","$1,151",AutoTrader,Sold,81,STK-00181,Honda,Camry,2022,1,9.0
2025-04-07,Store 2,SP_A,New,"$70,300","$3,791",$498,Website,Sold,52,STK-00182,Honda,Malibu,2024,4,8.6
2025-04-07,Store 3,SP_D,New,"$64,451","$3,036","$1,162",Website,Sold,62,STK-00183,Toyota,CR-V,2026,3,9.8
2025-04-07,Store 3,SP_B,New,"$61,650","$3,504","$2,068",Repeat Customer,Pending,34,STK-00184,Honda,Traverse,2025,0,0
2025-04-07,Store 3,SP_G,Used,"$19,943",$472,$331,CarGurus,Pending,19,STK-00185,Toyota,Camry,2020,0,0
2025-04-07,Store 3,SP_G,New,"$70,547","$2,163","$1,595",AutoTrader,Lost,54,STK-00186,Ford,Equinox,2026,0,9.5
2025-04-07,Store 3,SP_E,New,"$53,263","$1,489","$1,841",Repeat Customer,Pending,72,STK-00187,GMC,Equinox,2026,0,10.0
2025-04-07,Store 4,SP_C,Used,"$14,224","$3,465","$2,086",Email Campaign,Sold,81,STK-00188,Cadillac,Bronco,2023,0,8.1
2025-04-07,Store 4,SP_F,New,"$26,551","$3,553","$1,737",Phone,Sold,122,STK-00189,Toyota,Terrain,2025,1,8.2
2025-04-07,Store 5,SP_B,Used,"$30,380","$1,765","$1,670",AutoTrader,Sold,50,STK-00190,Buick,Traverse,2022,4,9.5
2025-04-07,Store 5,SP_E,New,"$41,031","$2,833","$1,886",Referral,Pending,110,STK-00191,Honda,Malibu,2025,0,9.7
2025-04-07,Store 5,SP_I,New,"$45,971","$2,960",$333,CarGurus,Pending,16,STK-00192,Cadillac,Yukon,2025,0,0
2025-04-07,Store 6,SP_J,Used,"$19,006","$1,909","$1,950",Phone,Sold,58,STK-00193,GMC,Accord,2023,2,9.1
2025-04-07,Store 7,SP_F,Used,"$40,804","$1,724","$1,717",Walk-In,Lost,97,STK-00194,GMC,Envision,2019,0,0
2025-04-07,Store 7,SP_J,Used,"$45,999",$993,$762,Website,Sold,27,STK-00195,Honda,Yukon,2020,3,8.9
2025-04-07,Store 7,SP_I,New,"$62,670",$439,$349,Website,Sold,62,STK-00196,Buick,F-150,2026,1,8.5
2025-04-07,Store 8,SP_F,New,"$35,870","$2,500","$1,209",AutoTrader,Sold,10,STK-00197,Ford,Silverado,2026,2,9.3
